Datetime,Open,High,Low,Close,Volume
2022-01-01 06:15:00,47307.03000000,47307.04000000,47119.37000000,47130.36000000,98.75754000
2022-01-01 06:30:00,47130.37000000,47197.32000000,47112.91000000,47158.02000000,86.74539000
2022-01-01 06:45:00,47158.02000000,47235.49000000,46940.00000000,46979.62000000,259.32756000
2022-01-01 07:00:00,46979.61000000,47044.26000000,46864.84000000,46990.23000000,175.37744000
2022-01-01 07:15:00,46990.23000000,47052.98000000,46948.41000000,46959.61000000,119.88006000
2022-01-01 07:30:00,46959.61000000,47122.91000000,46945.77000000,47096.70000000,132.61288000
2022-01-01 07:45:00,47096.69000000,47255.85000000,47073.12000000,47194.73000000,218.33043000
2022-01-01 08:00:00,47194.73000000,47228.86000000,47075.11000000,47151.37000000,131.91374000
2022-01-01 08:15:00,47151.37000000,47344.69000000,47145.05000000,47305.23000000,183.98417000
2022-01-01 08:30:00,47305.23000000,47313.91000000,47166.97000000,47210.18000000,109.50519000
2022-01-01 08:45:00,47210.18000000,47260.00000000,47081.74000000,47124.82000000,107.04457000
2022-01-01 09:00:00,47124.82000000,47215.56000000,47062.77000000,47205.77000000,127.12603000
2022-01-01 09:15:00,47205.77000000,47205.78000000,47082.06000000,47094.74000000,85.76911000
2022-01-01 09:30:00,47094.74000000,47126.85000000,46933.58000000,46988.47000000,221.15260000
2022-01-01 09:45:00,46988.46000000,47143.99000000,46947.43000000,47143.98000000,107.27717000
2022-01-01 10:00:00,47143.98000000,47298.75000000,47111.11000000,47111.12000000,128.77257000
2022-01-01 10:15:00,47111.11000000,47111.12000000,46812.99000000,46874.25000000,285.13532000
2022-01-01 10:30:00,46874.26000000,47017.95000000,46715.39000000,46979.50000000,366.49823000
2022-01-01 10:45:00,46979.50000000,47081.02000000,46868.71000000,46871.08000000,142.61148000
2022-01-01 11:00:00,46871.09000000,46960.39000000,46862.41000000,46925.19000000,164.24690000
2022-01-01 11:15:00,46925.20000000,47007.73000000,46898.97000000,46956.77000000,171.41749000
2022-01-01 11:30:00,46956.78000000,46994.24000000,46819.90000000,46946.36000000,218.58084000
2022-01-01 11:45:00,46946.36000000,46978.42000000,46756.77000000,46758.87000000,178.64270000
2022-01-01 12:00:00,46758.87000000,46992.60000000,46756.30000000,46990.62000000,132.00011000
2022-01-01 12:15:00,46990.14000000,47012.49000000,46884.87000000,46959.51000000,120.00104000
2022-01-01 12:30:00,46959.51000000,47150.48000000,46941.20000000,47008.32000000,222.54846000
2022-01-01 12:45:00,47008.32000000,47133.78000000,47007.01000000,47074.05000000,107.60048000
2022-01-01 13:00:00,47074.05000000,47150.00000000,47021.79000000,47141.50000000,105.86007000
2022-01-01 13:15:00,47141.51000000,47199.67000000,46983.01000000,47022.59000000,148.11585000
2022-01-01 13:30:00,47022.59000000,47095.48000000,46935.09000000,47067.11000000,107.32250000
2022-01-01 13:45:00,47067.10000000,47080.12000000,46967.91000000,47023.24000000,92.84570000
2022-01-01 14:00:00,47023.24000000,47066.89000000,46950.00000000,46969.74000000,103.67317000
2022-01-01 14:15:00,46969.73000000,47100.00000000,46967.54000000,47024.10000000,113.55795000
2022-01-01 14:30:00,47024.11000000,47031.90000000,46850.18000000,46904.67000000,124.59323000
2022-01-01 14:45:00,46904.67000000,46965.50000000,46877.04000000,46926.22000000,161.83785000
2022-01-01 15:00:00,46920.01000000,47009.74000000,46871.69000000,46953.79000000,121.57924000
2022-01-01 15:15:00,46953.79000000,47030.00000000,46920.80000000,47026.82000000,82.47188000
